pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0003589	MIMAT0003247	hsa-miR-582-5p	MIMAT0004797	hsa-miR-582-3p
MI0017266	MIMAT0019697	hsa-miR-4639-5p	MIMAT0019698	hsa-miR-4639-3p
MI0003145	MIMAT0002828	hsa-miR-519e-5p	MIMAT0002829	hsa-miR-519e-3p
MI0022725	MIMAT0027656	hsa-miR-6878-5p	MIMAT0027657	hsa-miR-6878-3p
MI0022668	MIMAT0027546	hsa-miR-6823-5p	MIMAT0027547	hsa-miR-6823-3p
MI0003592	MIMAT0026618	hsa-miR-585-5p	MIMAT0003250	hsa-miR-585-3p
MI0022593	MIMAT0027396	hsa-miR-6748-5p	MIMAT0027397	hsa-miR-6748-3p
MI0006648	MIMAT0005788	hsa-miR-513b-5p	MIMAT0026749	hsa-miR-513b-3p
MI0017352	MIMAT0019829	hsa-miR-4717-5p	MIMAT0019830	hsa-miR-4717-3p
MI0000084	MIMAT0000083	hsa-miR-26b-5p	MIMAT0004500	hsa-miR-26b-3p
MI0000465	MIMAT0000440	hsa-miR-191-5p	MIMAT0001618	hsa-miR-191-3p
MI0014235	MIMAT0015073	hsa-miR-3190-5p	MIMAT0022839	hsa-miR-3190-3p
MI0003605	MIMAT0003261	hsa-miR-593-5p	MIMAT0004802	hsa-miR-593-3p
MI0017402	MIMAT0019908	hsa-miR-4761-5p	MIMAT0019909	hsa-miR-4761-3p
MI0000482	MIMAT0000455	hsa-miR-185-5p	MIMAT0004611	hsa-miR-185-3p
